,ConversionID,BrowserType,OperatingSystemType,DeviceType,path_lengths,paths_by_adname,State-Region,hour
0,464371561372,Unsupported,iOS 10.2,Tablet,1,[21172958],Wisconsin,16
1,467465234569,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,19
2,468842379472,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,11
3,467465234570,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,19
4,465031798988,Chrome,Android 6.0,Smart Phone,1,[21172962],California,23
5,465031798989,Chrome,Android 6.0,Smart Phone,1,[21172962],California,23
6,465026205219,Chrome,Android 6.0,Smart Phone,1,[21164354],Minnesota,23
7,467359210742,Edge,Windows 10,PC,1,[21172800],Washington,16
8,467359210743,Edge,Windows 10,PC,1,[21172800],Washington,16
9,467359210744,Edge,Windows 10,PC,1,[21172800],Washington,16
10,465597477632,Internet Explorer on Windows 7_8 ,Windows 10,PC,1,[21172934],Washington,12
11,465332298226,Chrome,iOS 10.3,Smart Phone,1,[21172958],Washington,21
12,464232627908,Chrome,Android 7.0,Smart Phone,1,[21164354],Minnesota,23
13,464920650356,Safari,iOS 10.1,Tablet,1,[21172958],Illinois,17
14,469406442124,Chrome,Windows 7,PC,1,[21164348],Georgia,14
15,468798026617,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,0
16,469406442121,Chrome,Windows 7,PC,1,[21164348],Georgia,14
17,468798026616,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,0
18,468102255090,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,23
19,465597477633,Internet Explorer on Windows 7_8 ,Windows 10,PC,1,[21172934],Washington,12
20,469406442123,Chrome,Windows 7,PC,1,[21164348],Georgia,14
21,464635931143,Safari,iOS 10.3,Smart Phone,1,[21172958],Washington,11
22,464371561373,Unsupported,iOS 10.2,Tablet,1,[21172958],Wisconsin,16
23,470344417148,Safari,iOS 10.3,Smart Phone,1,[21172800],Washington,14
24,465983081910,Chrome,Android 5.0,Tablet,1,[21172800],Minnesota,23
25,468842379471,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,11
26,468842379470,Chrome,Mac 10.12 Sierra,Mac,1,[21164348],Washington,11
27,468396459169,Safari,iOS 10.3,Smart Phone,1,[21172935],Massachusetts,23
28,469105206619,Unsupported,iOS 10.3,Tablet,1,[21172958],Wisconsin,15
29,470344417147,Safari,iOS 10.3,Smart Phone,1,[21172800],Washington,14
30,468396459170,Safari,iOS 10.3,Smart Phone,1,[21172935],Massachusetts,23
31,466288852157,Chrome,Windows 10,PC,1,[21164348],Washington,23
32,464914698488,Chrome,iOS 10.3,Tablet,1,[21164354],Washington,17
33,469391850848,Internet Explorer on Windows 7_8 ,Windows 10,PC,1,[21164348],Minnesota,12
34,465191147178,Safari,iOS 10.0,Smart Phone,1,[21172800],Washington,10
35,465191147179,Safari,iOS 10.0,Smart Phone,1,[21172800],Washington,10
36,464920650348,Safari,iOS 10.1,Tablet,1,[21172958],Illinois,17
37,471458735167,Safari,iOS 10.3,Smart Phone,1,[21172962],Washington,7
38,464920650347,Safari,iOS 10.1,Tablet,1,[21172958],Illinois,17
39,462516061894,Chrome,Android 5.0,Smart Phone,1,[21172800],Florida,14
40,466288852156,Chrome,Windows 10,PC,1,[21164348],Washington,23
41,464914698489,Chrome,iOS 10.3,Tablet,1,[21164354],Washington,17
